periodo,n_tesis_anual,n_tesis_acumulado,n_personas_distintas,persistencia_tribunal
1985,0,0,0,
1986,0,0,0,
1987,0,0,0,
1988,0,0,0,
1989,0,0,0,
1990,0,0,0,
1991,0,0,0,
1992,0,0,0,
1993,1,1,1,
1994,0,1,0,
1995,0,1,0,
1996,0,1,0,
1997,1,2,1,0.0
1998,1,3,1,0.0
1999,1,4,1,0.0
2000,1,5,1,0.0
2001,0,5,0,
2002,0,5,0,
2003,1,6,1,0.0
2004,0,6,0,
2005,0,6,0,
2006,1,7,1,0.0
2007,0,7,0,
2008,1,8,1,0.0
2009,1,9,1,0.0
2010,0,9,0,
2011,3,12,8,0.0
2012,3,15,8,12.5
2013,1,16,6,0.0
2014,1,17,6,0.0
2015,3,20,14,0.0
2016,3,23,15,0.0
2017,4,27,17,0.0
2018,5,32,34,8.8
2019,1,33,7,0.0
2020,2,35,10,0.0
2021,3,38,13,15.4
2022,5,43,28,0.0
2023,1,44,7,0.0
2024,4,48,24,0.0
2025,2,50,16,0.0
2026,1,51,6,16.7
