periodo,n_tesis_anual,n_tesis_acumulado,n_personas_distintas,persistencia_tribunal
1985,1,1,1,
1986,4,5,4,0.0
1987,11,16,10,0.0
1988,3,19,7,0.0
1989,13,32,17,0.0
1990,24,56,34,5.9
1991,23,79,23,8.7
1992,16,95,22,9.1
1993,22,117,30,10.0
1994,29,146,45,6.7
1995,19,165,25,12.0
1996,14,179,25,16.0
1997,23,202,34,11.8
1998,14,216,14,7.1
1999,13,229,17,0.0
2000,16,245,17,5.9
2001,12,257,11,9.1
2002,9,266,12,0.0
2003,11,277,16,6.2
2004,7,284,11,9.1
2005,10,294,16,6.2
2006,6,300,11,0.0
2007,3,303,7,0.0
2008,13,316,24,4.2
2009,5,321,17,5.9
2010,8,329,15,0.0
2011,10,339,32,6.2
2012,8,347,27,0.0
2013,7,354,18,0.0
2014,9,363,35,5.7
2015,6,369,28,7.1
2016,6,375,34,2.9
2017,12,387,63,3.2
2018,3,390,18,0.0
2019,13,403,70,4.3
2020,11,414,46,13.0
2021,12,426,70,1.4
2022,9,435,55,5.5
2023,19,454,118,2.5
2024,20,474,127,4.7
2025,15,489,92,3.3
2026,2,491,12,8.3
