periodo,n_tesis_anual,n_tesis_acumulado,n_personas_distintas,persistencia_tribunal
1985,2,2,2,
1986,19,21,23,0.0
1987,20,41,19,0.0
1988,17,58,22,0.0
1989,18,76,21,0.0
1990,25,101,35,8.6
1991,29,130,28,10.7
1992,29,159,38,5.3
1993,35,194,47,8.5
1994,36,230,56,8.9
1995,30,260,38,13.2
1996,25,285,39,17.9
1997,32,317,43,16.3
1998,31,348,31,6.5
1999,28,376,32,9.4
2000,29,405,36,25.0
2001,23,428,22,9.1
2002,27,455,34,20.6
2003,27,482,33,15.2
2004,22,504,36,13.9
2005,20,524,25,16.0
2006,25,549,34,8.8
2007,23,572,29,24.1
2008,34,606,64,9.4
2009,14,620,41,12.2
2010,24,644,47,14.9
2011,36,680,119,13.4
2012,32,712,111,6.3
2013,38,750,136,11.0
2014,28,778,130,13.1
2015,33,811,155,12.3
2016,33,844,172,14.0
2017,38,882,189,15.9
2018,43,925,230,19.1
2019,47,972,265,14.7
2020,40,1012,208,15.9
2021,49,1061,288,17.4
2022,52,1113,299,17.7
2023,61,1174,350,17.7
2024,62,1236,367,18.8
2025,53,1289,315,21.9
2026,5,1294,28,10.7
