periodo,n_tesis_anual,n_tesis_acumulado,n_personas_distintas,persistencia_tribunal
1985,1,1,1,
1986,15,16,19,0.0
1987,9,25,9,0.0
1988,12,37,13,0.0
1989,5,42,4,0.0
1990,1,43,1,100.0
1991,6,49,5,20.0
1992,12,61,15,0.0
1993,12,73,16,6.2
1994,6,79,10,20.0
1995,9,88,10,20.0
1996,10,98,13,23.1
1997,7,105,7,28.6
1998,16,121,16,6.2
1999,13,134,13,23.1
2000,11,145,17,47.1
2001,11,156,11,9.1
2002,18,174,22,27.3
2003,13,187,14,28.6
2004,14,201,24,16.7
2005,9,210,8,37.5
2006,17,227,21,14.3
2007,18,245,20,30.0
2008,17,262,30,16.7
2009,8,270,23,17.4
2010,15,285,31,22.6
2011,22,307,78,16.7
2012,19,326,73,6.8
2013,28,354,101,13.9
2014,17,371,85,14.1
2015,21,392,99,13.1
2016,22,414,110,14.5
2017,20,434,103,21.4
2018,32,466,163,23.3
2019,30,496,167,14.4
2020,24,520,134,14.9
2021,29,549,175,19.4
2022,36,585,206,22.3
2023,39,624,211,24.2
2024,33,657,187,28.9
2025,35,692,204,27.9
2026,2,694,10,10.0
