periodo,n_tesis_anual,n_tesis_acumulado,n_personas_distintas,persistencia_tribunal
1985,0,0,0,
1986,0,0,0,
1987,0,0,0,
1988,0,0,0,
1989,0,0,0,
1990,0,0,0,
1991,0,0,0,
1992,0,0,0,
1993,0,0,0,
1994,0,0,0,
1995,0,0,0,
1996,0,0,0,
1997,0,0,0,
1998,0,0,0,
1999,1,1,1,
2000,1,2,1,0.0
2001,0,2,0,
2002,0,2,0,
2003,0,2,0,
2004,0,2,0,
2005,0,2,0,
2006,0,2,0,
2007,0,2,0,
2008,0,2,0,
2009,0,2,0,
2010,0,2,0,
2011,0,2,0,
2012,0,2,0,
2013,0,2,0,
2014,1,3,4,0.0
2015,1,4,5,0.0
2016,1,5,6,0.0
2017,0,5,0,
2018,0,5,0,
2019,0,5,0,
2020,0,5,0,
2021,0,5,0,
2022,0,5,0,
2023,0,5,0,
2024,0,5,0,
2025,0,5,0,
2026,0,5,0,
