periodo,n_tesis_anual,n_tesis_acumulado,n_personas_distintas,persistencia_tribunal
1985,0,0,0,
1986,0,0,0,
1987,0,0,0,
1988,2,2,2,
1989,0,2,0,
1990,0,2,0,
1991,0,2,0,
1992,1,3,1,0.0
1993,0,3,0,
1994,1,4,1,0.0
1995,2,6,3,0.0
1996,1,7,1,0.0
1997,1,8,1,0.0
1998,0,8,0,
1999,0,8,0,
2000,0,8,0,
2001,0,8,0,
2002,0,8,0,
2003,2,10,2,0.0
2004,1,11,1,0.0
2005,1,12,1,0.0
2006,1,13,1,0.0
2007,2,15,2,0.0
2008,3,18,9,0.0
2009,0,18,0,
2010,1,19,1,0.0
2011,1,20,1,0.0
2012,2,22,3,0.0
2013,2,24,11,0.0
2014,0,24,0,
2015,2,26,9,0.0
2016,1,27,7,0.0
2017,2,29,6,0.0
2018,3,32,15,0.0
2019,3,35,21,9.5
2020,2,37,11,18.2
2021,5,42,31,12.9
2022,2,44,11,0.0
2023,1,45,7,0.0
2024,4,49,23,0.0
2025,1,50,6,16.7
2026,0,50,0,
